UF,Cidade,tempmax,tempmin,Mês DPP,Município
Estado,Município,30,20,1,
Estado,Município,30,20,2,
Estado,Município,30,20,3,
Estado,Município,30,20,4,
Estado,Município,30,20,5,
Estado,Município,30,20,6,
Estado,Município,30,20,7,
Estado,Município,30,20,8,
Estado,Município,30,20,9,
Estado,Município,30,20,10,
Estado,Município,30,20,11,
Estado,Município,30,20,12,
AC,Acrelândia,"31,33","24,06",1,
AC,Acrelândia,"32,59","23,93",2,
AC,Acrelândia,"30,93","24,35",3,
AC,Acrelândia,"30,11","24,35",4,
AC,Acrelândia,"26,7","19,17",5,
AC,Acrelândia,"29,61","19,63",6,
AC,Acrelândia,"29,39","18,2",7,
AC,Acrelândia,"35,31","19,7",8,
AC,Acrelândia,"32,44","21,69",9,
AC,Acrelândia,"34,91","23,35",10,
AC,Acrelândia,"34,28","23,65",11,
AC,Acrelândia,"32,02","23,78",12,
AC,Assis Brasil,"30,59","24,04",1,
AC,Assis Brasil,"30,43","23,67",2,
AC,Assis Brasil,"31,8","23,91",3,
AC,Assis Brasil,"32,11","24,22",4,
AC,Assis Brasil,"27,57","18,24",5,
AC,Assis Brasil,"28,31","17,96",6,
AC,Assis Brasil,"26,8","17,8",7,
AC,Assis Brasil,"34,65","18,72",8,
AC,Assis Brasil,"32,46","21,24",9,
AC,Assis Brasil,"34,94","23,61",10,
AC,Assis Brasil,"33,87","23,43",11,
AC,Assis Brasil,"31,78","23,56",12,
AC,Brasiléia,"30,28","23,85",1,
AC,Brasiléia,"31,63","23,7",2,
AC,Brasiléia,"31,98","23,76",3,
AC,Brasiléia,"32,98","24,24",4,
AC,Brasiléia,"27,7","18,35",5,
AC,Brasiléia,"28,67","17,81",6,
AC,Brasiléia,"27,02","17,31",7,
AC,Brasiléia,"34,33","19,59",8,
AC,Brasiléia,"33,19","21,46",9,
AC,Brasiléia,"36,02","23,41",10,
AC,Brasiléia,"34,94","23,57",11,
AC,Brasiléia,"31,96","23,78",12,
AC,Bujari,"30,69","23,7",1,
AC,Bujari,"31,39","23,44",2,
AC,Bujari,"30,67","24,02",3,
AC,Bujari,"30,98","24,3",4,
AC,Bujari,"27,02","18,69",5,
AC,Bujari,"28,57","18,59",6,
AC,Bujari,"27,91","17,89",7,
AC,Bujari,"33,93","19,52",8,
AC,Bujari,"31,87","21,35",9,
AC,Bujari,"33,93",23,10,
AC,Bujari,"33,43","23,07",11,
AC,Bujari,"31,8","23,65",12,
AC,Capixaba,"30,61","23,61",1,
AC,Capixaba,"31,28","23,28",2,
AC,Capixaba,"30,61","23,94",3,
AC,Capixaba,"30,94","24,28",4,
AC,Capixaba,"26,94","18,61",5,
AC,Capixaba,"28,61","18,61",6,
AC,Capixaba,"27,94","17,94",7,
AC,Capixaba,"33,94","19,28",8,
AC,Capixaba,"31,94","21,28",9,
AC,Capixaba,"33,94","22,94",10,
AC,Capixaba,"33,28","22,94",11,
AC,Capixaba,"31,61","23,61",12,
AC,Epitaciolândia,"30,28","23,85",1,
AC,Epitaciolândia,"31,63","23,7",2,
AC,Epitaciolândia,"31,98","23,76",3,
AC,Epitaciolândia,"32,98","24,24",4,
AC,Epitaciolândia,"27,7","18,35",5,
AC,Epitaciolândia,"28,67","17,81",6,
AC,Epitaciolândia,"27,02","17,31",7,
AC,Epitaciolândia,"34,33","19,59",8,
AC,Epitaciolândia,"33,19","21,46",9,
AC,Epitaciolândia,"36,02","23,41",10,
AC,Epitaciolândia,"34,94","23,57",11,
AC,Epitaciolândia,"31,96","23,78",12,
AC,Feijó,"31,8","23,83",1,
AC,Feijó,"31,39","23,63",2,
AC,Feijó,"30,89","23,81",3,
AC,Feijó,"31,89","23,81",4,
AC,Feijó,"27,13","19,93",5,
AC,Feijó,"29,96","20,26",6,
AC,Feijó,"30,33","19,56",7,
AC,Feijó,"34,46","20,39",8,
AC,Feijó,"33,67","21,83",9,
AC,Feijó,"33,17","22,43",10,
AC,Feijó,"31,8","22,85",11,
AC,Feijó,"30,8","23,37",12,
AC,Jordão,"31,65","23,3",1,
AC,Jordão,"30,07","23,2",2,
AC,Jordão,"31,91","23,48",3,
AC,Jordão,"33,06","23,78",4,
AC,Jordão,"27,43","19,69",5,
AC,Jordão,"29,2","19,85",6,
AC,Jordão,"29,91","20,09",7,
AC,Jordão,"35,02","19,54",8,
AC,Jordão,"31,09","21,81",9,
AC,Jordão,"31,98","22,41",10,
AC,Jordão,"31,81","22,74",11,
AC,Jordão,"30,11","22,83",12,
AC,Mâncio Lima,"32,67","23,48",1,
AC,Mâncio Lima,31,"23,54",2,
AC,Mâncio Lima,"30,65","23,43",3,
AC,Mâncio Lima,"32,65","23,48",4,
AC,Mâncio Lima,"26,67","20,76",5,
AC,Mâncio Lima,"28,67","20,87",6,
AC,Mâncio Lima,31,"20,96",7,
AC,Mâncio Lima,"34,67","20,31",8,
AC,Mâncio Lima,35,"22,28",9,
AC,Mâncio Lima,"33,67","22,87",10,
AC,Mâncio Lima,"32,67","22,93",11,
AC,Mâncio Lima,30,"23,13",12,
AC,Manoel Urbano,"31,57","23,98",1,
AC,Manoel Urbano,"32,04","23,78",2,
AC,Manoel Urbano,"31,56","24,06",3,
AC,Manoel Urbano,"30,81","23,87",4,
AC,Manoel Urbano,"26,48","19,83",5,
AC,Manoel Urbano,"28,81","20,41",6,
AC,Manoel Urbano,"28,44","20,02",7,
AC,Manoel Urbano,"32,52","20,43",8,
AC,Manoel Urbano,"30,63","21,98",9,
AC,Manoel Urbano,"32,11","23,17",10,
AC,Manoel Urbano,"32,19","23,48",11,
AC,Manoel Urbano,"31,11","23,81",12,
AC,Marechal Thaumaturgo,"30,94","23,41",1,
AC,Marechal Thaumaturgo,"29,11","23,59",2,
AC,Marechal Thaumaturgo,"31,72","23,72",3,
AC,Marechal Thaumaturgo,"33,31","24,24",4,
AC,Marechal Thaumaturgo,"27,7","20,94",5,
AC,Marechal Thaumaturgo,"29,46","20,76",6,
AC,Marechal Thaumaturgo,"30,67","20,98",7,
AC,Marechal Thaumaturgo,"35,11",20,8,
AC,Marechal Thaumaturgo,"31,81","22,04",9,
AC,Marechal Thaumaturgo,"31,98","22,65",10,
AC,Marechal Thaumaturgo,"31,96","23,28",11,
AC,Marechal Thaumaturgo,"29,57","23,04",12,
AC,Plácido de Castro,"30,61","23,61",1,
AC,Plácido de Castro,"31,28","23,28",2,
AC,Plácido de Castro,"30,61","23,94",3,
AC,Plácido de Castro,"30,94","24,28",4,
AC,Plácido de Castro,"26,94","18,61",5,
AC,Plácido de Castro,"28,61","18,61",6,
AC,Plácido de Castro,"27,94","17,94",7,
AC,Plácido de Castro,"33,94","19,28",8,
AC,Plácido de Castro,"31,94","21,28",9,
AC,Plácido de Castro,"33,94","22,94",10,
AC,Plácido de Castro,"33,28","22,94",11,
AC,Plácido de Castro,"31,61","23,61",12,
AC,Porto Acre,"30,63","23,76",1,
AC,Porto Acre,"31,37","23,48",2,
AC,Porto Acre,"30,63",24,3,
AC,Porto Acre,"30,94","24,28",4,
AC,Porto Acre,"26,93","18,63",5,
AC,Porto Acre,"28,52","18,57",6,
AC,Porto Acre,"27,91","17,85",7,
AC,Porto Acre,"33,94","19,44",8,
AC,Porto Acre,"31,76","21,33",9,
AC,Porto Acre,"33,87","22,93",10,
AC,Porto Acre,"33,41","23,04",11,
AC,Porto Acre,"31,7","23,61",12,
AC,Porto Walter,"32,67","23,48",1,
AC,Porto Walter,31,"23,89",2,
AC,Porto Walter,"30,65","23,65",3,
AC,Porto Walter,"32,65","23,65",4,
AC,Porto Walter,"26,67","20,91",5,
AC,Porto Walter,"28,67","21,2",6,
AC,Porto Walter,31,"21,28",7,
AC,Porto Walter,"34,67","21,13",8,
AC,Porto Walter,35,"22,48",9,
AC,Porto Walter,"33,67","23,07",10,
AC,Porto Walter,"32,67","23,46",11,
AC,Porto Walter,30,"23,44",12,
AC,Rio Branco,30,23,1,
AC,Rio Branco,30,23,2,
AC,Rio Branco,31,23,3,
AC,Rio Branco,31,23,4,
AC,Rio Branco,30,22,5,
AC,Rio Branco,30,20,6,
AC,Rio Branco,31,20,7,
AC,Rio Branco,33,20,8,
AC,Rio Branco,33,22,9,
AC,Rio Branco,32,23,10,
AC,Rio Branco,31,23,11,
AC,Rio Branco,31,23,12,
AC,Rodrigues Alves,"32,67","23,35",1,
AC,Rodrigues Alves,31,"23,54",2,
AC,Rodrigues Alves,"30,65","23,5",3,
AC,Rodrigues Alves,"32,65","23,63",4,
AC,Rodrigues Alves,"26,69","20,72",5,
AC,Rodrigues Alves,"28,69","21,02",6,
AC,Rodrigues Alves,31,"21,28",7,
AC,Rodrigues Alves,"34,67","21,2",8,
AC,Rodrigues Alves,35,"22,61",9,
AC,Rodrigues Alves,"33,67","23,07",10,
AC,Rodrigues Alves,"32,67","23,13",11,
AC,Rodrigues Alves,30,"23,33",12,
AC,Santa Rosa do Purus,"31,69","23,89",1,
AC,Santa Rosa do Purus,"30,61","23,89",2,
AC,Santa Rosa do Purus,"31,61","24,26",3,
AC,Santa Rosa do Purus,"32,39","24,39",4,
AC,Santa Rosa do Purus,"26,7","20,17",5,
AC,Santa Rosa do Purus,"28,46","20,28",6,
AC,Santa Rosa do Purus,"27,93","20,07",7,
AC,Santa Rosa do Purus,"32,96","20,44",8,
AC,Santa Rosa do Purus,"32,06","22,06",9,
AC,Santa Rosa do Purus,"32,33","23,43",10,
AC,Santa Rosa do Purus,"32,19","23,83",11,
AC,Santa Rosa do Purus,"31,09","23,78",12,
AC,Sena Madureira,"31,61","24,02",1,
AC,Sena Madureira,"31,65","23,8",2,
AC,Sena Madureira,"31,22","24,09",3,
AC,Sena Madureira,"30,85","23,85",4,
AC,Sena Madureira,"27,02","19,54",5,
AC,Sena Madureira,"29,31","20,07",6,
AC,Sena Madureira,"29,3","19,04",7,
AC,Sena Madureira,"34,69",20,8,
AC,Sena Madureira,"32,59","22,04",9,
AC,Sena Madureira,"34,31","22,81",10,
AC,Sena Madureira,"32,69","23,22",11,
AC,Sena Madureira,"31,04","23,5",12,
AC,Senador Guiomard,"30,61","23,69",1,
AC,Senador Guiomard,"31,31","23,39",2,
AC,Senador Guiomard,"30,61","23,98",3,
AC,Senador Guiomard,"30,94","24,28",4,
AC,Senador Guiomard,"26,93","18,63",5,
AC,Senador Guiomard,"28,56","18,61",6,
AC,Senador Guiomard,"27,93","17,91",7,
AC,Senador Guiomard,"33,96","19,35",8,
AC,Senador Guiomard,"31,87","21,3",9,
AC,Senador Guiomard,"33,93","22,93",10,
AC,Senador Guiomard,"33,37",23,11,
AC,Senador Guiomard,"31,67","23,63",12,
AC,Tarauacá,"31,8","23,83",1,
AC,Tarauacá,"31,3","23,63",2,
AC,Tarauacá,"31,31","23,89",3,
AC,Tarauacá,"32,31","24,06",4,
AC,Tarauacá,"27,13","20,09",5,
AC,Tarauacá,"29,96","20,26",6,
AC,Tarauacá,"30,33","19,48",7,
AC,Tarauacá,"34,46","19,8",8,
AC,Tarauacá,"33,67","21,65",9,
AC,Tarauacá,"33,17","22,57",10,
AC,Tarauacá,"31,8","22,91",11,
AC,Tarauacá,"30,8","23,48",12,
AC,Xapuri,"30,31","23,76",1,
AC,Xapuri,"31,63","23,48",2,
AC,Xapuri,"31,98","23,67",3,
AC,Xapuri,"32,98","24,13",4,
AC,Xapuri,"27,72","18,15",5,
AC,Xapuri,"28,76","17,78",6,
AC,Xapuri,"27,11","17,39",7,
AC,Xapuri,"34,33","19,3",8,
AC,Xapuri,"32,94","21,69",9,
AC,Xapuri,"36,02","23,43",10,
AC,Xapuri,"34,78","23,54",11,
AC,Xapuri,"31,96","23,81",12,
AL,Anadia,"32,81","23,89",1,
AL,Anadia,"31,93","24,56",2,
AL,Anadia,"30,2","24,72",3,
AL,Anadia,"29,19","24,2",4,
AL,Anadia,"28,5","23,57",5,
AL,Anadia,"26,48","21,85",6,
AL,Anadia,"26,81","20,37",7,
AL,Anadia,"27,93","20,19",8,
AL,Anadia,"27,63","20,07",9,
AL,Anadia,"28,91","20,76",10,
AL,Anadia,"30,85","21,7",11,
AL,Anadia,"32,28","22,41",12,
AL,Arapiraca,"33,91","24,04",1,
AL,Arapiraca,"33,57","24,43",2,
AL,Arapiraca,"31,67","24,54",3,
AL,Arapiraca,"29,91","24,3",4,
AL,Arapiraca,"29,11","23,33",5,
AL,Arapiraca,"27,17",22,6,
AL,Arapiraca,"27,76","20,89",7,
AL,Arapiraca,28,"21,35",8,
AL,Arapiraca,"27,57","20,93",9,
AL,Arapiraca,"29,07","20,98",10,
AL,Arapiraca,"31,46","21,59",11,
AL,Arapiraca,"33,61","22,02",12,
AL,Barra de Santo Antônio,"32,07","23,69",1,
AL,Barra de Santo Antônio,"31,65","24,26",2,
AL,Barra de Santo Antônio,"30,07","24,74",3,
AL,Barra de Santo Antônio,"29,3","24,09",4,
AL,Barra de Santo Antônio,"28,91","23,35",5,
AL,Barra de Santo Antônio,"27,22","21,76",6,
AL,Barra de Santo Antônio,"26,81","19,87",7,
AL,Barra de Santo Antônio,"27,8","19,98",8,
AL,Barra de Santo Antônio,"27,7","20,04",9,
AL,Barra de Santo Antônio,"28,98","20,94",10,
AL,Barra de Santo Antônio,"30,56","21,74",11,
AL,Barra de Santo Antônio,"31,13","22,57",12,
AL,Belo Monte,"27,31","18,44",1,
AL,Belo Monte,"29,3","17,89",2,
AL,Belo Monte,"29,59",19,3,
AL,Belo Monte,"27,7","16,96",4,
AL,Belo Monte,"27,31","10,72",5,
AL,Belo Monte,"24,59","9,2",6,
AL,Belo Monte,"24,94","10,31",7,
AL,Belo Monte,"27,48","11,02",8,
AL,Belo Monte,"30,33","14,5",9,
AL,Belo Monte,"28,78","16,69",10,
AL,Belo Monte,"26,54","18,3",11,
AL,Belo Monte,"27,37","17,04",12,
AL,Boca da Mata,"32,44","23,91",1,
AL,Boca da Mata,"31,78","24,54",2,
AL,Boca da Mata,"30,13","24,72",3,
AL,Boca da Mata,"29,17","24,17",4,
AL,Boca da Mata,"28,35","23,54",5,
AL,Boca da Mata,"26,26","21,78",6,
AL,Boca da Mata,"26,69","20,26",7,
AL,Boca da Mata,"27,89","20,17",8,
AL,Boca da Mata,"27,63","20,06",9,
AL,Boca da Mata,"28,89","20,83",10,
AL,Boca da Mata,"30,72","21,78",11,
AL,Boca da Mata,"31,85","22,52",12,
AL,Branquinha,"32,11","23,94",1,
AL,Branquinha,"31,7","24,54",2,
AL,Branquinha,"30,06","24,7",3,
AL,Branquinha,"29,09","24,06",4,
AL,Branquinha,"28,19","23,41",5,
AL,Branquinha,"26,13","21,7",6,
AL,Branquinha,"26,63","20,06",7,
AL,Branquinha,"27,83","20,13",8,
AL,Branquinha,"27,65",20,9,
AL,Branquinha,"28,91","20,85",10,
AL,Branquinha,"30,65","21,7",11,
AL,Branquinha,"31,46","22,5",12,
AL,Cacimbinhas,"34,87","23,69",1,
AL,Cacimbinhas,"33,96","23,61",2,
AL,Cacimbinhas,"32,09","24,24",3,
AL,Cacimbinhas,"30,13","23,93",4,
AL,Cacimbinhas,"29,46","22,98",5,
AL,Cacimbinhas,"27,43","20,31",6,
AL,Cacimbinhas,"27,89","19,35",7,
AL,Cacimbinhas,"28,09","20,61",8,
AL,Cacimbinhas,"27,76","19,63",9,
AL,Cacimbinhas,"30,72","20,19",10,
AL,Cacimbinhas,"33,17","20,85",11,
AL,Cacimbinhas,"34,59","21,67",12,
AL,Cajueiro,"32,33","23,93",1,
AL,Cajueiro,"31,85","24,54",2,
AL,Cajueiro,"30,11","24,72",3,
AL,Cajueiro,"29,11","24,07",4,
AL,Cajueiro,"28,26","23,43",5,
AL,Cajueiro,"26,19","21,76",6,
AL,Cajueiro,"26,72","20,13",7,
AL,Cajueiro,"27,85","20,13",8,
AL,Cajueiro,"27,63","20,02",9,
AL,Cajueiro,"28,91","20,81",10,
AL,Cajueiro,"30,74","21,74",11,
AL,Cajueiro,"31,74","22,5",12,
AL,Canapi,"35,52",24,1,
AL,Canapi,34,"23,11",2,
AL,Canapi,"31,65","23,02",3,
AL,Canapi,"30,98","22,89",4,
AL,Canapi,"32,67","22,19",5,
AL,Canapi,"30,67","20,17",6,
AL,Canapi,"31,67",20,7,
AL,Canapi,32,"20,67",8,
AL,Canapi,"31,33","20,67",9,
AL,Canapi,"33,69","22,33",10,
AL,Canapi,35,"22,22",11,
AL,Canapi,"35,33","23,33",12,
AL,Carneiros,"36,22","24,46",1,
AL,Carneiros,"34,37","23,69",2,
AL,Carneiros,"32,87","24,57",3,
AL,Carneiros,"32,11","24,35",4,
AL,Carneiros,"30,57","23,3",5,
AL,Carneiros,"28,57","20,7",6,
AL,Carneiros,"29,31","19,93",7,
AL,Carneiros,"30,04","20,98",8,
AL,Carneiros,"30,87","20,98",9,
AL,Carneiros,"33,7","22,07",10,
AL,Carneiros,"34,7","21,83",11,
AL,Carneiros,36,"22,69",12,
AL,Chã Preta,"33,07","23,87",1,
AL,Chã Preta,"32,26","24,5",2,
AL,Chã Preta,"30,3","24,7",3,
AL,Chã Preta,"29,15","24,07",4,
